best_epoch,class_weight,dropout,epoch_sec,epochs_run,freeze,image_size,lr,model,params_M,preset,run_id,scheduler,val_accuracy,val_auc,val_balanced,val_loss,val_recall_단핵구,val_recall_림프구,val_recall_호산구,val_recall_호중구,weight_decay
24,0,0.3,1.34,34,0,224,0.001,simplecnn,0.39,flip,A_밑바닥CNN,plateau,0.84211,0.95851,0.89657,0.60356,1.0,1.0,0.7333,0.8529,0.0
36,0,0.5,1.55,40,1,224,0.001,efficientnet_v2_s,20.18,flip,B_백본고정,plateau,0.66667,0.76944,0.5152,0.94363,0.3333,0.4,0.5333,0.7941,0.0
21,0,0.5,2.51,31,0,224,0.0001,efficientnet_v2_s,20.18,flip,C_미세조정,plateau,0.89474,0.96562,0.9,0.45191,1.0,1.0,0.6,1.0,0.0
22,1,0.5,2.5,32,0,224,0.0001,efficientnet_v2_s,20.18,flip,C+_미세조정_가중치,plateau,0.87719,0.96055,0.89265,0.59541,1.0,1.0,0.6,0.9706,0.0
13,1,0.5,2.53,15,0,224,0.0001,efficientnet_v2_s,20.18,none,AUG_none,plateau,0.85965,0.96173,0.89461,0.42951,1.0,1.0,0.6667,0.9118,0.0
9,1,0.5,2.51,15,0,224,0.0001,efficientnet_v2_s,20.18,flip,AUG_flip,plateau,0.85965,0.94205,0.88529,0.49079,1.0,1.0,0.6,0.9412,0.0
9,1,0.5,2.53,15,0,224,0.0001,efficientnet_v2_s,20.18,flip_rot,AUG_flip_rot,plateau,0.84211,0.95636,0.87794,0.49389,1.0,1.0,0.6,0.9118,0.0
8,1,0.5,2.56,15,0,224,0.0001,efficientnet_v2_s,20.18,affine,AUG_affine,plateau,0.87719,0.94332,0.90196,0.49687,1.0,1.0,0.6667,0.9412,0.0
12,1,0.5,3.0,15,0,224,0.0001,efficientnet_v2_s,20.18,color,AUG_color,plateau,0.84211,0.95533,0.88725,0.52165,1.0,1.0,0.6667,0.8824,0.0
10,1,0.5,2.57,15,0,224,0.0003,efficientnet_v2_s,20.18,affine,LR_0.0003,plateau,0.84211,0.95127,0.89657,0.47419,1.0,1.0,0.7333,0.8529,0.0
7,1,0.5,2.59,15,0,224,0.0001,efficientnet_v2_s,20.18,affine,LR_0.0001,plateau,0.87719,0.93145,0.90196,0.51954,1.0,1.0,0.6667,0.9412,0.0
13,1,0.5,2.58,15,0,224,5e-05,efficientnet_v2_s,20.18,affine,LR_5e-05,plateau,0.82456,0.93711,0.8799,0.56588,1.0,1.0,0.6667,0.8529,0.0
9,1,0.5,2.6,15,0,224,2e-05,efficientnet_v2_s,20.18,affine,LR_2e-05,plateau,0.49123,0.76555,0.59363,1.28738,1.0,0.4,0.5333,0.4412,0.0
12,1,0.5,2.57,15,0,224,0.0001,efficientnet_v2_s,20.18,affine,SCH_plateau,plateau,0.91228,0.95844,0.94461,0.45933,1.0,1.0,0.8667,0.9118,0.0
9,1,0.5,2.67,15,0,224,0.0001,efficientnet_v2_s,20.18,affine,SCH_cosine,cosine,0.85965,0.92739,0.88529,0.56336,1.0,1.0,0.6,0.9412,0.0
12,1,0.5,2.66,15,0,224,0.0001,efficientnet_v2_s,20.18,affine,SCH_step,step,0.85965,0.93329,0.89461,0.59224,1.0,1.0,0.6667,0.9118,0.0
7,1,0.3,2.67,15,0,224,0.0001,efficientnet_v2_s,20.18,affine,REG_0,plateau,0.85965,0.94633,0.89461,0.48423,1.0,1.0,0.6667,0.9118,0.0
11,1,0.5,2.66,15,0,224,0.0001,efficientnet_v2_s,20.18,affine,REG_1,plateau,0.89474,0.96202,0.91863,0.41796,1.0,1.0,0.7333,0.9412,0.0
12,0,0.5,2.57,15,0,224,0.0001,efficientnet_v2_s,20.18,affine,REG_2,plateau,0.85965,0.92966,0.88529,0.60158,1.0,1.0,0.6,0.9412,0.0
9,1,0.5,2.56,15,0,224,0.0001,efficientnet_v2_s,20.18,affine,REG_3,plateau,0.87719,0.95279,0.90196,0.47269,1.0,1.0,0.6667,0.9412,0.0001
12,1,0.5,2.56,15,0,224,0.0001,efficientnet_v2_s,20.18,affine,BB_efficientnet_v2_s,plateau,0.89474,0.96592,0.92794,0.44019,1.0,1.0,0.8,0.9118,0.0
9,1,0.5,1.6,15,0,224,0.0001,resnet18,11.18,affine,BB_resnet18,plateau,0.84211,0.96016,0.8299,0.47451,0.6667,1.0,0.8,0.8529,0.0
